id,file_id,term_id_ref,book,reference,book_id,chapter,verse_num,testament
209,1,G0111,Acts,Act 10:28,44,10,28,NT
210,1,G0111,1 Peter,1Pe 4:3,60,4,3,NT
201,1,G0946,Matthew,Mat 24:15,40,24,15,NT
202,1,G0946,Mark,Mar 13:14,41,13,14,NT
203,1,G0946,Luke,Luk 16:15,42,16,15,NT
204,1,G0946,Revelation,Rev 17:4,66,17,4,NT
205,1,G0946,Revelation,Rev 17:5,66,17,5,NT
206,1,G0946,Revelation,Rev 21:27,66,21,27,NT
200,1,G0947,Titus,Tit 1:16,56,1,16,NT
207,1,G0948,Romans,Rom 2:22,45,2,22,NT
208,1,G0948,Revelation,Rev 21:8,66,21,8,NT
184,1,H0887,Genesis,Gen 34:30,1,34,30,OT
185,1,H0887,Exodus,Exo 5:21,2,5,21,OT
186,1,H0887,Exodus,Exo 7:18,2,7,18,OT
187,1,H0887,Exodus,Exo 7:21,2,7,21,OT
188,1,H0887,Exodus,Exo 8:14,2,8,14,OT
189,1,H0887,Exodus,Exo 16:20,2,16,20,OT
190,1,H0887,Exodus,Exo 16:24,2,16,24,OT
191,1,H0887,1 Samuel,1Sa 13:4,9,13,4,OT
192,1,H0887,1 Samuel,1Sa 27:12,9,27,12,OT
193,1,H0887,2 Samuel,2Sa 10:6,10,10,6,OT
194,1,H0887,2 Samuel,2Sa 16:21,10,16,21,OT
195,1,H0887,1 Chronicles,1Ch 19:6,13,19,6,OT
196,1,H0887,Psalms,Psa 38:5,19,38,5,OT
197,1,H0887,Proverbs,Pro 13:5,20,13,5,OT
198,1,H0887,Ecclesiastes,Ecc 10:1,21,10,1,OT
199,1,H0887,Isaiah,Isa 50:2,23,50,2,OT
167,1,H2194,Numbers,Num 23:7,4,23,7,OT
168,1,H2194,Numbers,Num 23:8,4,23,8,OT
169,1,H2194,Psalms,Psa 7:11,19,7,11,OT
170,1,H2194,Proverbs,Pro 22:14,20,22,14,OT
171,1,H2194,Proverbs,Pro 24:24,20,24,24,OT
172,1,H2194,Proverbs,Pro 25:23,20,25,23,OT
173,1,H2194,Isaiah,Isa 66:14,23,66,14,OT
174,1,H2194,Daniel,Dan 11:30,27,11,30,OT
175,1,H2194,Micah,Mic 6:10,33,6,10,OT
176,1,H2194,Zechariah,Zec 1:12,38,1,12,OT
177,1,H2194,Malachi,Mal 1:4,39,1,4,OT
178,1,H4656,1 Kings,1Ki 15:13,11,15,13,OT
179,1,H4656,2 Chronicles,2Ch 15:16,14,15,16,OT
180,1,H6292,Leviticus,Lev 7:18,3,7,18,OT
181,1,H6292,Leviticus,Lev 19:7,3,19,7,OT
182,1,H6292,Isaiah,Isa 65:4,23,65,4,OT
183,1,H6292,Ezekiel,Eze 4:14,26,4,14,OT
108,1,H8251,Deuteronomy,Deu 29:17,5,29,17,OT
109,1,H8251,1 Kings,1Ki 11:5,11,11,5,OT
110,1,H8251,1 Kings,1Ki 11:7,11,11,7,OT
111,1,H8251,2 Kings,2Ki 23:13,12,23,13,OT
112,1,H8251,2 Kings,2Ki 23:24,12,23,24,OT
113,1,H8251,2 Chronicles,2Ch 15:8,14,15,8,OT
114,1,H8251,Isaiah,Isa 66:3,23,66,3,OT
115,1,H8251,Jeremiah,Jer 4:1,24,4,1,OT
116,1,H8251,Jeremiah,Jer 7:30,24,7,30,OT
117,1,H8251,Jeremiah,Jer 13:27,24,13,27,OT
118,1,H8251,Jeremiah,Jer 16:18,24,16,18,OT
119,1,H8251,Jeremiah,Jer 32:34,24,32,34,OT
120,1,H8251,Ezekiel,Eze 5:11,26,5,11,OT
121,1,H8251,Ezekiel,Eze 7:20,26,7,20,OT
122,1,H8251,Ezekiel,Eze 11:18,26,11,18,OT
123,1,H8251,Ezekiel,Eze 11:21,26,11,21,OT
124,1,H8251,Ezekiel,Eze 20:7,26,20,7,OT
125,1,H8251,Ezekiel,Eze 20:8,26,20,8,OT
126,1,H8251,Ezekiel,Eze 20:30,26,20,30,OT
127,1,H8251,Ezekiel,Eze 37:23,26,37,23,OT
128,1,H8251,Daniel,Dan 9:27,27,9,27,OT
129,1,H8251,Daniel,Dan 11:31,27,11,31,OT
130,1,H8251,Daniel,Dan 12:11,27,12,11,OT
131,1,H8251,Hosea,Hos 9:10,28,9,10,OT
132,1,H8251,Nahum,Nah 3:6,34,3,6,OT
133,1,H8251,Zechariah,Zec 9:7,38,9,7,OT
142,1,H8262,Leviticus,Lev 11:11,3,11,11,OT
143,1,H8262,Leviticus,Lev 11:13,3,11,13,OT
144,1,H8262,Leviticus,Lev 11:43,3,11,43,OT
145,1,H8262,Leviticus,Lev 20:25,3,20,25,OT
146,1,H8262,Deuteronomy,Deu 7:26,5,7,26,OT
147,1,H8262,Psalms,Psa 22:24,19,22,24,OT
211,1,H8262_taav_loathe,,,,,,OT
134,1,H8263,Leviticus,Lev 7:21,3,7,21,OT
135,1,H8263,Leviticus,Lev 11:10,3,11,10,OT
136,1,H8263,Leviticus,Lev 11:12,3,11,12,OT
137,1,H8263,Leviticus,Lev 11:20,3,11,20,OT
138,1,H8263,Leviticus,Lev 11:23,3,11,23,OT
139,1,H8263,Leviticus,Lev 11:41,3,11,41,OT
140,1,H8263,Leviticus,Lev 11:42,3,11,42,OT
141,1,H8263,Isaiah,Isa 66:17,23,66,17,OT
1,1,H8441,Genesis,Gen 43:32,1,43,32,OT
2,1,H8441,Genesis,Gen 46:34,1,46,34,OT
3,1,H8441,Exodus,Exo 8:26,2,8,26,OT
4,1,H8441,Leviticus,Lev 18:22,3,18,22,OT
5,1,H8441,Leviticus,Lev 18:26,3,18,26,OT
6,1,H8441,Leviticus,Lev 18:27,3,18,27,OT
7,1,H8441,Leviticus,Lev 18:29,3,18,29,OT
8,1,H8441,Leviticus,Lev 18:30,3,18,30,OT
9,1,H8441,Leviticus,Lev 20:13,3,20,13,OT
10,1,H8441,Deuteronomy,Deu 7:25,5,7,25,OT
11,1,H8441,Deuteronomy,Deu 12:31,5,12,31,OT
12,1,H8441,Deuteronomy,Deu 13:14,5,13,14,OT
13,1,H8441,Deuteronomy,Deu 14:3,5,14,3,OT
14,1,H8441,Deuteronomy,Deu 17:1,5,17,1,OT
15,1,H8441,Deuteronomy,Deu 17:4,5,17,4,OT
16,1,H8441,Deuteronomy,Deu 18:9,5,18,9,OT
17,1,H8441,Deuteronomy,Deu 18:12,5,18,12,OT
18,1,H8441,Deuteronomy,Deu 20:18,5,20,18,OT
19,1,H8441,Deuteronomy,Deu 22:5,5,22,5,OT
20,1,H8441,Deuteronomy,Deu 23:18,5,23,18,OT
21,1,H8441,Deuteronomy,Deu 24:4,5,24,4,OT
22,1,H8441,Deuteronomy,Deu 25:16,5,25,16,OT
23,1,H8441,Deuteronomy,Deu 27:15,5,27,15,OT
24,1,H8441,Deuteronomy,Deu 32:16,5,32,16,OT
25,1,H8441,1 Kings,1Ki 14:24,11,14,24,OT
26,1,H8441,2 Kings,2Ki 16:3,12,16,3,OT
27,1,H8441,2 Kings,2Ki 21:2,12,21,2,OT
28,1,H8441,2 Kings,2Ki 21:11,12,21,11,OT
29,1,H8441,2 Chronicles,2Ch 28:3,14,28,3,OT
30,1,H8441,2 Chronicles,2Ch 33:2,14,33,2,OT
31,1,H8441,2 Chronicles,2Ch 34:33,14,34,33,OT
32,1,H8441,2 Chronicles,2Ch 36:8,14,36,8,OT
33,1,H8441,2 Chronicles,2Ch 36:14,14,36,14,OT
34,1,H8441,Ezra,Ezr 9:1,15,9,1,OT
35,1,H8441,Ezra,Ezr 9:11,15,9,11,OT
36,1,H8441,Ezra,Ezr 9:14,15,9,14,OT
37,1,H8441,Psalms,Psa 88:8,19,88,8,OT
38,1,H8441,Proverbs,Pro 3:32,20,3,32,OT
39,1,H8441,Proverbs,Pro 6:16,20,6,16,OT
40,1,H8441,Proverbs,Pro 8:7,20,8,7,OT
41,1,H8441,Proverbs,Pro 11:1,20,11,1,OT
42,1,H8441,Proverbs,Pro 11:20,20,11,20,OT
43,1,H8441,Proverbs,Pro 12:22,20,12,22,OT
44,1,H8441,Proverbs,Pro 13:19,20,13,19,OT
45,1,H8441,Proverbs,Pro 15:8,20,15,8,OT
46,1,H8441,Proverbs,Pro 15:9,20,15,9,OT
47,1,H8441,Proverbs,Pro 15:26,20,15,26,OT
48,1,H8441,Proverbs,Pro 16:5,20,16,5,OT
49,1,H8441,Proverbs,Pro 16:12,20,16,12,OT
50,1,H8441,Proverbs,Pro 17:15,20,17,15,OT
51,1,H8441,Proverbs,Pro 20:10,20,20,10,OT
52,1,H8441,Proverbs,Pro 20:23,20,20,23,OT
53,1,H8441,Proverbs,Pro 21:27,20,21,27,OT
54,1,H8441,Proverbs,Pro 24:9,20,24,9,OT
55,1,H8441,Proverbs,Pro 26:25,20,26,25,OT
56,1,H8441,Proverbs,Pro 28:9,20,28,9,OT
57,1,H8441,Proverbs,Pro 29:27,20,29,27,OT
58,1,H8441,Isaiah,Isa 1:13,23,1,13,OT
59,1,H8441,Isaiah,Isa 41:24,23,41,24,OT
60,1,H8441,Isaiah,Isa 44:19,23,44,19,OT
61,1,H8441,Jeremiah,Jer 2:7,24,2,7,OT
62,1,H8441,Jeremiah,Jer 6:15,24,6,15,OT
63,1,H8441,Jeremiah,Jer 7:10,24,7,10,OT
64,1,H8441,Jeremiah,Jer 8:12,24,8,12,OT
65,1,H8441,Jeremiah,Jer 32:35,24,32,35,OT
66,1,H8441,Jeremiah,Jer 44:4,24,44,4,OT
67,1,H8441,Jeremiah,Jer 44:22,24,44,22,OT
68,1,H8441,Ezekiel,Eze 5:9,26,5,9,OT
69,1,H8441,Ezekiel,Eze 6:9,26,6,9,OT
70,1,H8441,Ezekiel,Eze 6:11,26,6,11,OT
71,1,H8441,Ezekiel,Eze 7:3,26,7,3,OT
72,1,H8441,Ezekiel,Eze 7:4,26,7,4,OT
73,1,H8441,Ezekiel,Eze 7:8,26,7,8,OT
74,1,H8441,Ezekiel,Eze 7:9,26,7,9,OT
75,1,H8441,Ezekiel,Eze 8:6,26,8,6,OT
76,1,H8441,Ezekiel,Eze 8:9,26,8,9,OT
77,1,H8441,Ezekiel,Eze 8:13,26,8,13,OT
78,1,H8441,Ezekiel,Eze 8:15,26,8,15,OT
79,1,H8441,Ezekiel,Eze 8:17,26,8,17,OT
80,1,H8441,Ezekiel,Eze 9:4,26,9,4,OT
81,1,H8441,Ezekiel,Eze 12:16,26,12,16,OT
82,1,H8441,Ezekiel,Eze 14:6,26,14,6,OT
83,1,H8441,Ezekiel,Eze 16:2,26,16,2,OT
84,1,H8441,Ezekiel,Eze 16:22,26,16,22,OT
107,1,H8441,Ezekiel,Eze 16:25,26,16,25,OT
85,1,H8441,Ezekiel,Eze 16:36,26,16,36,OT
86,1,H8441,Ezekiel,Eze 16:43,26,16,43,OT
87,1,H8441,Ezekiel,Eze 16:47,26,16,47,OT
88,1,H8441,Ezekiel,Eze 16:50,26,16,50,OT
89,1,H8441,Ezekiel,Eze 16:51,26,16,51,OT
90,1,H8441,Ezekiel,Eze 16:52,26,16,52,OT
91,1,H8441,Ezekiel,Eze 16:58,26,16,58,OT
92,1,H8441,Ezekiel,Eze 18:12,26,18,12,OT
93,1,H8441,Ezekiel,Eze 18:13,26,18,13,OT
94,1,H8441,Ezekiel,Eze 18:24,26,18,24,OT
95,1,H8441,Ezekiel,Eze 20:4,26,20,4,OT
96,1,H8441,Ezekiel,Eze 22:2,26,22,2,OT
97,1,H8441,Ezekiel,Eze 22:11,26,22,11,OT
98,1,H8441,Ezekiel,Eze 23:36,26,23,36,OT
99,1,H8441,Ezekiel,Eze 33:26,26,33,26,OT
100,1,H8441,Ezekiel,Eze 33:29,26,33,29,OT
101,1,H8441,Ezekiel,Eze 36:31,26,36,31,OT
102,1,H8441,Ezekiel,Eze 43:8,26,43,8,OT
103,1,H8441,Ezekiel,Eze 44:6,26,44,6,OT
104,1,H8441,Ezekiel,Eze 44:7,26,44,7,OT
105,1,H8441,Ezekiel,Eze 44:13,26,44,13,OT
106,1,H8441,Malachi,Mal 2:11,39,2,11,OT
148,1,H8581,Deuteronomy,Deu 23:7,5,23,7,OT
149,1,H8581,1 Kings,1Ki 21:26,11,21,26,OT
150,1,H8581,1 Chronicles,1Ch 21:6,13,21,6,OT
151,1,H8581,Job,Job 9:31,18,9,31,OT
152,1,H8581,Job,Job 15:16,18,15,16,OT
153,1,H8581,Job,Job 19:19,18,19,19,OT
154,1,H8581,Job,Job 30:10,18,30,10,OT
155,1,H8581,Psalms,Psa 5:6,19,5,6,OT
156,1,H8581,Psalms,Psa 14:1,19,14,1,OT
157,1,H8581,Psalms,Psa 53:1,19,53,1,OT
158,1,H8581,Psalms,Psa 106:40,19,106,40,OT
159,1,H8581,Psalms,Psa 107:18,19,107,18,OT
160,1,H8581,Psalms,Psa 119:163,19,119,163,OT
161,1,H8581,Isaiah,Isa 14:19,23,14,19,OT
162,1,H8581,Isaiah,Isa 49:7,23,49,7,OT
163,1,H8581,Ezekiel,Eze 16:25,26,16,25,OT
164,1,H8581,Ezekiel,Eze 16:52,26,16,52,OT
165,1,H8581,Amos,Amo 5:10,30,5,10,OT
166,1,H8581,Micah,Mic 3:9,33,3,9,OT
212,2,G0074,Luke,Luk 22:44,42,22,44,NT
244,2,G0928H,Matthew,Mat 8:6,40,8,6,NT
248,2,G0928H,Matthew,Mat 8:29,40,8,29,NT
245,2,G0928H,Matthew,Mat 14:24,40,14,24,NT
249,2,G0928H,Mark,Mar 5:7,41,5,7,NT
246,2,G0928H,Mark,Mar 6:48,41,6,48,NT
250,2,G0928H,Luke,Luk 8:28,42,8,28,NT
251,2,G0928H,2 Peter,2Pe 2:8,61,2,8,NT
252,2,G0928H,Revelation,Rev 9:5,66,9,5,NT
253,2,G0928H,Revelation,Rev 11:10,66,11,10,NT
247,2,G0928H,Revelation,Rev 12:2,66,12,2,NT
254,2,G0928H,Revelation,Rev 14:10,66,14,10,NT
255,2,G0928H,Revelation,Rev 20:10,66,20,10,NT
280,2,G0931,Matthew,Mat 4:24,40,4,24,NT
281,2,G0931,Luke,Luk 16:23,42,16,23,NT
282,2,G0931,Luke,Luk 16:28,42,16,28,NT
221,2,G3600,Luke,Luk 2:48,42,2,48,NT
222,2,G3600,Luke,Luk 16:24,42,16,24,NT
223,2,G3600,Luke,Luk 16:25,42,16,25,NT
224,2,G3600,Acts,Act 20:38,44,20,38,NT
230,2,G5604,Matthew,Mat 24:8,40,24,8,NT
231,2,G5604,Mark,Mar 13:8,41,13,8,NT
232,2,G5604,Acts,Act 2:24,44,2,24,NT
233,2,G5604,1 Thessalonians,1Th 5:3,52,5,3,NT
239,2,H1518,Judges,Judg 20:33,7,20,33,OT
240,2,H1518,Job,Job 38:8,18,38,8,OT
241,2,H1518,Job,Job 40:23,18,40,23,OT
242,2,H1518,Psalms,Psa 22:9,19,22,9,OT
243,2,H1518,Ezekiel,Eze 32:2,26,32,2,OT
234,2,H2256B,Job,Job 21:17,18,21,17,OT
235,2,H2256B,Job,Job 39:3,18,39,3,OT
236,2,H2256B,Jeremiah,Jer 13:21,24,13,21,OT
237,2,H2256B,Jeremiah,Jer 49:24,24,49,24,OT
238,2,H2256B,Hosea,Hos 13:13,28,13,13,OT
256,2,H2342I,Deuteronomy,Deu 2:25,5,2,25,OT
257,2,H2342I,1 Samuel,1Sa 31:3,9,31,3,OT
258,2,H2342I,1 Chronicles,1Ch 10:3,13,10,3,OT
259,2,H2342I,Job,Job 15:20,18,15,20,OT
260,2,H2342I,Psalms,Psa 77:16,19,77,16,OT
261,2,H2342I,Isaiah,Isa 13:8,23,13,8,OT
262,2,H2342I,Isaiah,Isa 23:4,23,23,4,OT
263,2,H2342I,Isaiah,Isa 23:5,23,23,5,OT
264,2,H2342I,Isaiah,Isa 26:17,23,26,17,OT
265,2,H2342I,Isaiah,Isa 26:18,23,26,18,OT
266,2,H2342I,Isaiah,Isa 45:10,23,45,10,OT
267,2,H2342I,Isaiah,Isa 54:1,23,54,1,OT
268,2,H2342I,Isaiah,Isa 66:7,23,66,7,OT
269,2,H2342I,Isaiah,Isa 66:8,23,66,8,OT
270,2,H2342I,Jeremiah,Jer 5:3,24,5,3,OT
271,2,H2342I,Jeremiah,Jer 51:29,24,51,29,OT
272,2,H2342I,Ezekiel,Eze 30:16,26,30,16,OT
273,2,H2342I,Joel,Joe 2:6,29,2,6,OT
274,2,H2342I,Micah,Mic 4:10,33,4,10,OT
275,2,H2342I,Zechariah,Zec 9:5,38,9,5,OT
214,2,H2427A,Exodus,Exo 15:14,2,15,14,OT
215,2,H2427A,Psalms,Psa 48:6,19,48,6,OT
216,2,H2427A,Jeremiah,Jer 6:24,24,6,24,OT
217,2,H2427A,Jeremiah,Jer 22:23,24,22,23,OT
218,2,H2427A,Jeremiah,Jer 50:43,24,50,43,OT
219,2,H2427A,Micah,Mic 4:9,33,4,9,OT
213,2,H2427B,Job,Job 6:10,18,6,10,OT
276,2,H2479,Isaiah,Isa 21:3,23,21,3,OT
277,2,H2479,Ezekiel,Eze 30:4,26,30,4,OT
278,2,H2479,Ezekiel,Eze 30:9,26,30,9,OT
279,2,H2479,Nahum,Nah 2:10,34,2,10,OT
220,2,H7661,2 Samuel,2Sa 1:9,10,1,9,OT
225,2,H8463,Deuteronomy,Deu 29:22,5,29,22,OT
226,2,H8463,2 Chronicles,2Ch 21:19,14,21,19,OT
227,2,H8463,Psalms,Psa 103:3,19,103,3,OT
228,2,H8463,Jeremiah,Jer 14:18,24,14,18,OT
229,2,H8463,Jeremiah,Jer 16:4,24,16,4,OT
283,3,G2052,Romans,Rom 2:8,45,2,8,NT
284,3,G2052,2 Corinthians,2Cor 12:20,47,12,20,NT
285,3,G2052,Galatians,Gal 5:20,48,5,20,NT
286,3,G2052,Philippians,Php 1:17,50,1,17,NT
287,3,G2052,Philippians,Php 2:3,50,2,3,NT
288,3,G2052,James,Jam 3:14,59,3,14,NT
289,3,G2052,James,Jam 3:16,59,3,16,NT
290,3,G5389,Romans,Rom 15:20,45,15,20,NT
291,3,G5389,2 Corinthians,2Cor 5:9,47,5,9,NT
292,3,G5389,1 Thessalonians,1Th 4:11,52,4,11,NT
424,4,G2372,Luke,Luk 4:28,42,4,28,NT
425,4,G2372,Acts,Act 19:28,44,19,28,NT
426,4,G2372,Romans,Rom 2:8,45,2,8,NT
427,4,G2372,2 Corinthians,2Cor 12:20,47,12,20,NT
428,4,G2372,Galatians,Gal 5:20,48,5,20,NT
429,4,G2372,Ephesians,Eph 4:31,49,4,31,NT
430,4,G2372,Revelation,Rev 16:19,66,16,19,NT
431,4,G2372,Revelation,Rev 19:15,66,19,15,NT
404,4,G3709,Matthew,Mat 3:7,40,3,7,NT
405,4,G3709,Mark,Mar 3:5,41,3,5,NT
406,4,G3709,Romans,Rom 1:18,45,1,18,NT
407,4,G3709,Romans,Rom 2:5,45,2,5,NT
408,4,G3709,Romans,Rom 12:19,45,12,19,NT
409,4,G3709,Ephesians,Eph 4:31,49,4,31,NT
410,4,G3709,Colossians,Col 3:8,51,3,8,NT
411,4,G3709,James,Jam 1:19,59,1,19,NT
412,4,G3709,James,Jam 1:20,59,1,20,NT
413,4,G3709,Revelation,Rev 6:16,66,6,16,NT
414,4,G3710,Matthew,Mat 5:22,40,5,22,NT
415,4,G3710,Matthew,Mat 18:34,40,18,34,NT
416,4,G3710,Matthew,Mat 22:7,40,22,7,NT
417,4,G3710,Luke,Luk 14:21,42,14,21,NT
418,4,G3710,Luke,Luk 15:28,42,15,28,NT
423,4,G3710,Ephesians,Eph 4:26,49,4,26,NT
419,4,G3710,Revelation,Rev 11:18,66,11,18,NT
420,4,G3710,Revelation,Rev 12:17,66,12,17,NT
433,4,G3947,Acts,Act 17:16,44,17,16,NT
434,4,G3947,1 Corinthians,1Cor 13:5,46,13,5,NT
421,4,G_parorgizō,Romans,Rom 10:19,45,10,19,NT
422,4,G_parorgizō,Ephesians,Eph 6:4,49,6,4,NT
432,4,G_thumoō,Matthew,Mat 2:16,40,2,16,NT
315,4,H0639G,Genesis,Gen 27:45,1,27,45,OT
316,4,H0639G,Genesis,Gen 30:2,1,30,2,OT
317,4,H0639G,Exodus,Exo 32:10,2,32,10,OT
318,4,H0639G,Exodus,Exo 34:6,2,34,6,OT
319,4,H0639G,Numbers,Num 14:18,4,14,18,OT
320,4,H0639G,Proverbs,Pro 15:1,20,15,1,OT
321,4,H0639G,Proverbs,Pro 30:33,20,30,33,OT
322,4,H0639H,Genesis,Gen 2:7,1,2,7,OT
323,4,H0639H,Exodus,Exo 15:8,2,15,8,OT
325,4,H0639H,Numbers,Num 11:20,4,11,20,OT
324,4,H0639H,2 Samuel,2Sa 22:9,10,22,9,OT
326,4,H0639H,Isaiah,Isa 2:22,23,2,22,OT
327,4,H0639I,Genesis,Gen 3:19,1,3,19,OT
328,4,H0639I,Genesis,Gen 19:1,1,19,1,OT
329,4,H0639I,Psalms,Psa 10:4,19,10,4,OT
396,4,H0644,Hosea,Hos 7:4,28,7,4,OT
397,4,H0644,Hosea,Hos 7:6,28,7,6,OT
335,4,H2195,Psalms,Psa 38:3,19,38,3,OT
336,4,H2195,Isaiah,Isa 13:5,23,13,5,OT
337,4,H2195,Isaiah,Isa 26:20,23,26,20,OT
338,4,H2195,Jeremiah,Jer 15:17,24,15,17,OT
339,4,H2195,Daniel,Dan 8:19,27,8,19,OT
347,4,H2528,Daniel,Dan 3:13,27,3,13,OT
348,4,H2528,Daniel,Dan 3:19,27,3,19,OT
340,4,H2534,Genesis,Gen 27:44,1,27,44,OT
341,4,H2534,2 Kings,2Ki 5:12,12,5,12,OT
342,4,H2534,Esther,Est 1:12,17,1,12,OT
343,4,H2534,Esther,Est 3:5,17,3,5,OT
344,4,H2534,Proverbs,Pro 6:34,20,6,34,OT
345,4,H2534,Proverbs,Pro 19:19,20,19,19,OT
346,4,H2534,Amos,Amo 1:11,30,1,11,OT
393,4,H2552,Psalms,Psa 39:3,19,39,3,OT
394,4,H2552,Hosea,Hos 7:6,28,7,6,OT
395,4,H2552,Hosea,Hos 7:7,28,7,7,OT
358,4,H2734,Genesis,Gen 4:5,1,4,5,OT
359,4,H2734,Genesis,Gen 4:6,1,4,6,OT
363,4,H2734,1 Samuel,1Sa 18:8,9,18,8,OT
364,4,H2734,Nehemiah,Neh 4:1,16,4,1,OT
360,4,H2734,Jonah,Jon 4:1,32,4,1,OT
361,4,H2734,Jonah,Jon 4:4,32,4,4,OT
362,4,H2734,Jonah,Jon 4:9,32,4,9,OT
310,4,H2740,Exodus,Exo 15:7,2,15,7,OT
311,4,H2740,Exodus,Exo 32:12,2,32,12,OT
312,4,H2740,Numbers,Num 25:4,4,25,4,OT
313,4,H2740,Hosea,Hos 11:9,28,11,9,OT
314,4,H2740,Zephaniah,Zep 2:2,36,2,2,OT
365,4,H3707,Deuteronomy,Deu 4:25,5,4,25,OT
369,4,H3707,1 Samuel,1Sa 1:7,9,1,7,OT
366,4,H3707,1 Kings,1Ki 14:9,11,14,9,OT
367,4,H3707,Psalms,Psa 78:58,19,78,58,OT
368,4,H3707,Psalms,Psa 112:10,19,112,10,OT
374,4,H3708B,1 Samuel,1Sa 1:16,9,1,16,OT
370,4,H3708B,Job,Job 5:2,18,5,2,OT
371,4,H3708B,Job,Job 6:2,18,6,2,OT
373,4,H3708B,Proverbs,Pro 12:16,20,12,16,OT
372,4,H3708B,Ecclesiastes,Ecc 1:18,21,1,18,OT
375,4,H3708B,Ecclesiastes,Ecc 11:10,21,11,10,OT
389,4,H5006,Numbers,Num 14:11,4,14,11,OT
391,4,H5006,2 Samuel,2Sa 12:14,10,12,14,OT
390,4,H5006,Psalms,Psa 107:11,19,107,11,OT
392,4,H5006,Isaiah,Isa 1:4,23,1,4,OT
386,4,H5201,Leviticus,Lev 19:18,3,19,18,OT
387,4,H5201,Psalms,Psa 103:9,19,103,9,OT
388,4,H5201,Jeremiah,Jer 3:5,24,3,5,OT
385,4,H5307K,Jeremiah,Jer 3:12,24,3,12,OT
299,4,H5674B,Genesis,Gen 49:7,1,49,7,OT
293,4,H5674B,Deuteronomy,Deu 3:26,5,3,26,OT
300,4,H5674B,Job,Job 21:30,18,21,30,OT
294,4,H5674B,Psalms,Psa 78:59,19,78,59,OT
295,4,H5674B,Psalms,Psa 78:62,19,78,62,OT
296,4,H5674B,Psalms,Psa 89:38,19,89,38,OT
297,4,H5674B,Proverbs,Pro 20:2,20,20,2,OT
298,4,H5674B,Proverbs,Pro 26:17,20,26,17,OT
330,4,H5678,Genesis,Gen 49:7,1,49,7,OT
331,4,H5678,Psalms,Psa 78:49,19,78,49,OT
332,4,H5678,Proverbs,Pro 11:4,20,11,4,OT
333,4,H5678,Ezekiel,Eze 38:19,26,38,19,OT
334,4,H5678,Zephaniah,Zep 1:15,36,1,15,OT
398,4,H5860A,1 Samuel,1Sa 25:14,9,25,14,OT
301,4,H7107,Exodus,Exo 16:20,2,16,20,OT
302,4,H7107,Leviticus,Lev 10:6,3,10,6,OT
303,4,H7107,Leviticus,Lev 10:16,3,10,16,OT
304,4,H7107,Numbers,Num 16:22,4,16,22,OT
305,4,H7107,Numbers,Num 31:14,4,31,14,OT
306,4,H7107,Deuteronomy,Deu 1:34,5,1,34,OT
307,4,H7107,Zechariah,Zec 1:2,38,1,2,OT
308,4,H7107,Zechariah,Zec 1:15,38,1,15,OT
309,4,H7107,Zechariah,Zec 7:12,38,7,12,OT
376,4,H7110A,Numbers,Num 1:53,4,1,53,OT
377,4,H7110A,Numbers,Num 16:46,4,16,46,OT
378,4,H7110A,Psalms,Psa 38:1,19,38,1,OT
379,4,H7110A,Isaiah,Isa 54:8,23,54,8,OT
380,4,H7110A,Zechariah,Zec 1:2,38,1,2,OT
381,4,H7110B,Hosea,Hos 10:7,28,10,7,OT
384,4,H7265,Ezra,Ezr 5:12,15,5,12,OT
399,4,H7267,Job,Job 3:17,18,3,17,OT
400,4,H7267,Job,Job 3:26,18,3,26,OT
401,4,H7267,Job,Job 39:24,18,39,24,OT
402,4,H7267,Isaiah,Isa 14:3,23,14,3,OT
403,4,H7267,Habakkuk,Hab 3:2,35,3,2,OT
349,4,H7307J,Judges,Judg 8:3,7,8,3,OT
350,4,H7307J,Job,Job 21:4,18,21,4,OT
351,4,H7307J,Proverbs,Pro 14:29,20,14,29,OT
352,4,H7307J,Proverbs,Pro 16:32,20,16,32,OT
353,4,H7307J,Proverbs,Pro 17:27,20,17,27,OT
354,4,H7307J,Proverbs,Pro 25:28,20,25,28,OT
355,4,H7307J,Proverbs,Pro 29:11,20,29,11,OT
356,4,H7307J,Ecclesiastes,Ecc 7:9,21,7,9,OT
357,4,H7307J,Micah,Mic 2:7,33,2,7,OT
382,4,H8474,Jeremiah,Jer 12:5,24,12,5,OT
383,4,H8474,Jeremiah,Jer 22:15,24,22,15,OT
435,5,G0074,Luke,Luk 22:44,42,22,44,NT
869,5,G0928H,Matthew,Mat 8:6,40,8,6,NT
870,5,G0928H,Matthew,Mat 14:24,40,14,24,NT
871,5,G0928H,Mark,Mar 6:48,41,6,48,NT
872,5,G0928H,Revelation,Rev 12:2,66,12,2,NT
818,5,G2347,Matthew,Mat 13:21,40,13,21,NT
819,5,G2347,Matthew,Mat 24:9,40,24,9,NT
820,5,G2347,Matthew,Mat 24:21,40,24,21,NT
821,5,G2347,Matthew,Mat 24:29,40,24,29,NT
822,5,G2347,Mark,Mar 4:17,41,4,17,NT
823,5,G2347,Mark,Mar 13:19,41,13,19,NT
824,5,G2347,Mark,Mar 13:24,41,13,24,NT
825,5,G2347,John,Joh 16:21,43,16,21,NT
826,5,G2347,John,Joh 16:33,43,16,33,NT
827,5,G2347,Acts,Act 7:10,44,7,10,NT
828,5,G2347,Acts,Act 7:11,44,7,11,NT
